,name,temperature (F),humidity,wind_speed,cloudiness %,latitude,longitude
52,Chuy,55.49,86,15.3,100,-33.69,-53.46
53,Camacha,71.76,78,14.99,75,33.08,-16.33
54,Alekseyevsk,52.61,98,5.55,100,57.84,108.35
55,Bluff,57.65,87,1.79,0,-23.58,149.07
56,Lebu,54.41,83,1.79,0,8.96,38.73
57,Koungheul,75.47,90,10.31,100,13.98,-14.8
58,Simpsonville,73.78,64,9.17,75,34.74,-82.25
59,Outlook,71.01,49,3.0,51,51.48,-107.04
60,Bayir,77.0,69,4.7,0,37.27,28.22
61,Pizhanka,47.57,94,9.13,0,57.46,48.54
62,Arlit,86.09,46,11.32,100,18.74,7.39
63,Hermanus,53.55,99,3.0,100,-34.42,19.24
64,Kloulklubed,78.8,88,5.82,90,7.04,134.26
65,Hilo,77.7,62,14.99,75,19.71,-155.08
66,Carnarvon,53.33,23,7.4,0,-30.97,22.13
67,Punta Arenas,46.2,61,8.05,75,-53.16,-70.91
68,Zaragoza,88.72,62,4.7,20,13.59,-89.29
69,Komsomolskiy,42.53,71,1.72,100,67.55,63.78
70,Yellowknife,64.2,45,7.54,40,62.45,-114.38
71,Longyearbyen,41.0,86,1.12,75,78.22,15.63
72,Imeni Morozova,55.31,76,8.95,0,59.98,31.04
73,Namibe,67.55,84,7.83,83,-15.19,12.15
74,Pangody,43.25,86,16.55,100,65.85,74.49
75,Torbay,60.66,59,10.29,40,47.66,-52.73
76,Astoria,70.93,60,14.99,1,46.19,-123.83
77,Tessalit,76.19,73,11.97,100,20.2,1.01
78,Ossora,48.65,85,5.86,100,59.24,163.07
79,Vila,73.36,78,4.7,0,45.18,8.4
80,Nantucket,66.02,68,13.87,90,41.28,-70.1
81,Airai,64.13,74,4.81,38,-8.93,125.41
82,Hamilton,72.79,53,16.11,75,43.26,-79.87
83,Dingle,73.85,87,2.33,89,11.0,122.67
84,Coquimbo,59.0,77,9.17,0,-29.95,-71.34
85,Farmington,91.78,10,14.99,1,36.73,-108.21
86,Zitiste,75.76,73,4.7,0,45.48,20.55
87,Kahului,82.85,48,14.99,40,20.89,-156.47
88,Ilulissat,42.8,52,9.17,9,69.22,-51.1
89,Maragogi,69.71,94,4.12,11,-9.01,-35.22
90,Saint-Philippe,76.77,44,5.82,1,45.36,-73.48
91,Nikolskoye,55.47,82,4.47,0,59.7,30.79
92,New Norfolk,44.92,75,10.29,20,-42.78,147.06
93,Belmonte,67.98,59,1.23,38,40.36,-7.35
94,Houma,70.07,78,5.82,34,35.63,111.36
95,Boffa,77.99,84,11.56,100,10.18,-14.04
96,Puerto Ayora,77.07,54,20.8,0,-0.74,-90.35
97,Bathsheba,86.0,70,20.8,75,13.22,-59.52
98,Guilin,80.6,83,2.24,20,25.28,110.29
99,Aklavik,55.4,47,2.24,75,68.22,-135.01
100,Mbanza-Ngungu,72.23,68,4.52,89,-5.25,14.87
101,Nosy Varika,66.29,83,2.71,99,-20.58,48.53
102,Itaituba,87.89,44,2.01,67,-4.26,-55.99
103,Petropavlovsk-Kamchatskiy,48.2,100,6.71,90,53.05,158.65
104,Atasu,68.81,34,6.98,73,48.68,71.64
105,Manggar,75.29,93,1.74,100,-2.88,108.27
106,Tuktoyaktuk,44.6,93,11.41,90,69.44,-133.03
107,Carauari,88.97,50,2.26,80,-4.88,-66.9
108,Saint-Georges,73.65,45,4.65,0,46.12,-70.67
109,Urucui,86.27,28,4.47,8,-7.23,-44.56
110,Vardo,75.27,49,3.36,75,39.62,-77.74
111,Muisne,82.4,74,9.17,40,0.61,-80.02
112,Nouadhibou,75.2,83,10.29,1,20.93,-17.03
113,Pabrade,63.63,72,1.12,0,55.0,25.78
114,Port Dover,72.41,64,16.11,40,42.79,-80.2
115,Nanortalik,43.61,78,1.16,0,60.14,-45.24
116,Kapaa,86.4,55,16.11,40,22.08,-159.32
117,Coihaique,47.19,61,1.72,0,-45.58,-72.07
118,Cayenne,80.6,88,6.93,40,4.94,-52.33
119,Lapua,60.55,93,4.7,0,62.97,23.01
120,Necochea,54.0,84,3.0,100,-38.55,-58.74
121,Fairbanks,56.48,58,7.56,20,64.84,-147.72
122,Kodiak,67.23,88,6.93,90,39.95,-94.76
123,Ancud,46.4,87,12.75,90,-41.87,-73.83
124,Avarua,77.0,78,11.41,98,-21.21,-159.78
125,Deputatskiy,47.21,87,3.06,53,69.3,139.9
126,Saldanha,66.83,72,4.47,98,41.42,-6.55
127,Richards Bay,72.23,60,16.24,0,-28.77,32.06
128,Hit,91.49,18,6.44,0,33.64,42.83
129,Avera,78.93,69,8.05,90,33.19,-82.53
130,Ixtapa,91.09,67,10.29,75,20.71,-105.21
131,Acajutla,85.91,67,8.34,0,13.59,-89.83
132,Yulara,46.4,53,5.82,0,-25.24,130.99
133,Bambous Virieux,67.68,73,12.75,75,-20.34,57.76
134,Jose Bonifacio,84.2,21,3.36,0,-21.05,-49.69
135,La Ronge,68.0,72,4.7,75,55.1,-105.3
136,Kangaatsiaq,43.07,54,8.75,73,68.31,-53.46
137,Comodoro Rivadavia,53.6,46,9.17,0,-45.87,-67.48
138,Eagle Pass,101.08,39,3.36,40,28.71,-100.5
139,Maniitsoq,45.05,71,13.2,52,65.42,-52.9
140,Klaksvik,51.8,93,17.22,100,62.23,-6.59
141,Santa Maria,78.49,30,9.17,0,-16.02,-48.01
142,Hazorasp,66.2,48,2.24,0,41.32,61.08
143,Vazante,75.47,32,2.08,0,-17.99,-46.9
144,Provideniya,51.8,87,4.47,75,64.42,-173.23
145,Batticaloa,76.37,81,2.04,100,7.71,81.69
146,North Platte,77.76,65,9.17,75,41.12,-100.77
147,Saint-Louis,82.4,74,4.7,40,16.03,-16.5
148,Buta,69.35,98,4.03,100,2.79,24.73
149,Coahuayana,88.61,64,2.39,50,18.62,-100.35
150,Erdenet,43.07,73,3.89,0,49.03,104.04
151,Port Hardy,64.4,68,11.41,20,50.7,-127.42
152,Iskateley,35.51,91,8.57,35,67.68,53.15
153,Binga,62.69,44,3.67,0,-17.62,27.34
154,Porto Walter,85.37,51,5.61,59,-8.27,-72.74
155,Bilibino,56.93,72,7.94,90,68.06,166.44
156,Tuatapere,45.0,93,10.0,95,-46.13,167.69
157,Jiazi,80.6,94,4.47,0,19.61,110.49
158,Gimli,67.53,83,5.01,100,50.63,-96.99
159,Potosi,49.19,10,19.8,31,-19.59,-65.75
160,Russell,83.91,69,9.17,1,38.9,-98.86
161,Balikpapan,71.15,98,3.33,90,-1.24,116.86
162,Narsaq,55.4,35,9.17,0,60.91,-46.05
163,Betsiamites,72.54,40,13.87,1,48.94,-68.65
164,Leningradskiy,46.31,79,7.31,94,69.38,178.42
165,Opuwo,56.93,16,0.98,0,-18.06,13.84
166,Victoria,79.27,78,8.88,75,5.28,115.24
167,Tomatlan,88.43,67,12.37,7,19.93,-105.25
168,Altay,45.59,65,3.38,0,47.83,88.13
169,Khatanga,55.67,70,7.74,99,71.98,102.47
170,Vanimo,80.87,77,7.4,85,-2.67,141.3
171,Bethel,53.01,71,9.17,90,60.79,-161.76
172,Chokurdakh,49.37,89,7.2,90,70.62,147.9
173,Mabaruma,79.97,88,3.51,100,8.2,-59.78
174,Juneau,60.51,81,8.05,90,58.3,-134.42
175,Dunedin,48.99,77,14.0,100,-45.87,170.5
176,Poum,69.8,60,2.24,20,41.28,20.71
177,Ketchikan,60.8,77,11.41,75,55.34,-131.65
178,Ponta do Sol,68.99,46,5.97,0,-20.63,-46.0
179,Iqaluit,46.18,70,4.7,90,63.75,-68.52
180,Menongue,54.77,24,4.27,0,-14.66,17.68
181,Abonnema,76.19,87,6.2,98,4.71,6.79
182,Baykit,49.91,98,3.69,85,61.68,96.39
183,Barrow,60.35,68,4.18,100,-38.31,-60.23
184,Los Llanos de Aridane,77.25,78,16.11,0,28.66,-17.92
185,Hasaki,71.1,94,8.05,75,35.73,140.83
186,Okato,55.35,54,10.0,42,-39.19,173.88
187,Xam Nua,64.49,95,1.88,85,20.42,104.04
188,Beloha,65.21,77,6.76,0,-25.17,45.06
189,Hobyo,77.09,78,25.93,4,5.35,48.53
190,Takaka,53.01,83,13.0,100,-40.86,172.81
191,Aojiang,82.4,78,6.71,90,26.21,119.54
192,Biltine,76.91,79,6.31,100,14.53,20.93
193,Brae,60.33,68,24.16,100,60.4,-1.35
194,Lhokseumawe,71.33,83,3.27,100,5.18,97.15
195,Pevek,46.13,70,1.25,100,69.7,170.27
196,Lokosovo,43.61,80,2.15,100,61.13,74.84
197,Magadan,52.61,86,2.04,99,59.56,150.8
198,Bizhbulyak,51.35,96,10.58,7,53.69,54.27
199,Rumuruti,58.01,76,19.33,0,0.26,36.54
200,Chauk,74.57,89,3.29,74,20.89,94.82
201,Pitimbu,75.2,88,9.17,0,-7.47,-34.81
202,Kapit,72.59,97,1.9,100,2.02,112.94
203,Alvinopolis,62.51,77,4.05,11,-20.11,-43.05
204,Havelock,77.79,65,12.75,90,34.88,-76.9
205,Sompeta,78.35,82,3.42,100,18.93,84.6
206,San Ignacio,78.89,41,4.72,69,-5.15,-79.0
207,Kokstad,53.15,18,6.58,0,-30.55,29.42
208,Quelimane,71.6,78,1.21,0,-17.88,36.89
209,Saint George,75.06,47,1.72,20,39.45,22.34
210,Mirnyy,50.99,94,3.56,41,56.57,36.46
211,Point Fortin,86.47,62,11.41,20,10.16,-61.68
212,Alice Springs,46.4,45,5.82,0,-23.7,133.88
213,Moindou,68.0,68,4.7,100,-21.69,165.68
214,Karachi,82.4,78,8.05,75,24.87,67.03
215,Carutapera,79.79,74,9.51,9,-1.2,-46.02
216,Pokaran,89.15,47,17.94,34,26.93,71.92
217,Havre-Saint-Pierre,62.6,72,16.11,20,50.23,-63.6
218,Predivinsk,49.19,98,4.74,10,57.07,93.44
219,Ville-Marie,78.8,36,12.75,1,47.33,-79.44
220,Pandharpur,72.77,80,11.45,100,17.68,75.33
221,Soyo,72.23,87,4.63,96,-6.13,12.37
222,Vila Velha,79.65,69,14.99,0,-3.71,-38.6
223,Luderitz,57.2,76,12.75,0,-26.65,15.16
224,Georgetown,83.1,70,9.17,40,6.8,-58.16
225,Kaeo,60.48,100,13.27,17,-35.1,173.78
226,Haapsalu,53.55,86,1.99,0,58.95,23.55
227,Namatanai,79.25,81,10.6,88,-3.66,152.44
228,Oga,52.66,100,3.36,0,46.46,10.35
229,Shelburne,74.23,41,11.41,20,44.08,-80.2
230,Santa Lucia,72.07,78,2.24,0,41.98,12.66
231,Ostrovnoy,41.45,89,11.14,100,68.05,39.51
232,Steamboat Springs,81.77,16,16.11,40,40.48,-106.83
233,Salalah,78.8,94,5.82,90,17.01,54.1
234,Muravlenko,43.79,88,12.37,93,63.79,74.5
235,Dire Dawa,70.61,56,8.75,49,9.59,41.86
236,San Cristobal,87.17,41,9.46,5,14.68,-86.92
237,Caravelas,72.41,77,6.58,5,-17.73,-39.27
238,Touros,78.8,78,9.17,20,-5.2,-35.46
239,Sobolevo,55.31,88,3.56,80,54.43,31.9
240,Rome,72.43,78,2.24,0,41.89,12.48
241,Half Moon Bay,78.03,60,19.46,20,37.46,-122.43
242,Hope,84.15,62,5.82,20,33.67,-93.59
243,Hualmay,59.27,85,12.01,39,-11.1,-77.61
244,Inirida,88.61,57,0.92,26,3.87,-67.92
245,Tapel,81.05,84,9.08,48,13.08,123.3
246,Lasa,76.91,60,3.36,0,34.92,32.53
247,Klyuchi,60.17,54,6.89,42,52.25,79.17
248,Burgeo,61.07,69,13.73,0,47.61,-57.61
249,Mehamn,49.39,76,1.12,75,71.03,27.85
250,Takoradi,74.39,90,5.14,66,4.89,-1.75
251,Mount Isa,59.0,30,10.29,0,-20.73,139.49
252,Sitka,87.06,59,15.99,0,37.17,-99.65
253,Butembo,61.07,97,2.28,28,0.12,29.29
254,Laredo,101.37,37,5.82,1,27.51,-99.51
255,Pangnirtung,49.01,52,4.29,41,66.15,-65.72
256,Diamantino,89.87,25,3.47,66,-14.4,-56.44
257,Kupino,56.03,59,7.34,14,54.36,77.31
258,Codrington,52.74,87,8.05,90,-28.95,153.24
259,Baruun-Urt,50.81,89,6.82,28,46.68,113.28
260,Umm Lajj,89.33,59,14.45,48,25.02,37.27
261,Limbang,79.39,88,2.24,75,4.75,115.01
262,Skibotn,50.97,100,12.75,75,69.39,20.27
263,Concepcion de Buenos Aires,80.6,47,5.82,75,19.97,-103.27
264,Walvis Bay,66.0,71,3.0,0,-22.95,14.51
265,San Andres,76.73,91,3.31,81,13.32,122.68
266,Kronshagen,67.21,82,2.24,20,54.33,10.08
267,Hami,74.75,15,14.45,100,42.84,93.51
268,Korcula,69.8,68,4.7,0,42.96,17.14
269,Svetlogorsk,55.4,71,6.71,75,53.14,59.15
270,Gravdal,61.23,82,10.29,0,59.79,5.78
271,Beckley,73.51,47,7.14,40,37.78,-81.19
272,Khorol,64.67,74,9.46,0,49.78,33.27
273,Rypefjord,51.8,87,4.7,75,70.63,23.67
274,Jand,90.59,40,7.78,0,33.43,72.02
275,Whitianga,59.0,87,10.0,16,-36.83,175.7
276,Maracaju,83.21,27,7.36,0,-21.61,-55.17
277,Neuquen,62.6,36,5.82,75,-38.95,-68.06
278,Angoram,73.85,99,1.57,100,-4.06,144.07
279,Sibu,75.07,94,3.36,75,2.29,111.83
280,Xuanwu,79.88,100,6.71,40,32.07,118.81
281,Daska,80.65,89,13.87,40,32.34,74.35
282,Jacareacanga,92.39,36,2.53,19,-6.22,-57.76
283,Aquiraz,79.59,69,14.99,0,-3.9,-38.39
284,Plettenberg Bay,56.03,90,6.73,99,-34.05,23.37
285,Zhangye,62.87,53,3.74,8,38.94,100.46
286,Adrar,104.0,12,8.05,20,27.87,-0.29
287,Antofagasta,57.2,76,11.41,90,-23.65,-70.4
288,Fortuna,76.06,78,9.17,40,38.18,-1.13
289,Tinalmud,76.73,91,3.31,81,13.59,122.88
290,Orta Nova,72.37,94,12.75,75,41.33,15.71
291,Winnemucca,90.12,15,21.92,1,40.97,-117.74
292,Maun,64.4,25,4.7,0,-19.99,23.42
293,Semporna,75.2,94,1.77,75,4.48,118.61
294,Taltal,63.23,61,4.54,0,-25.41,-70.49
295,Gore,57.29,99,1.86,99,8.15,35.53
296,Methoni,76.78,83,3.36,0,36.82,21.7
297,Novikovo,58.91,80,8.1,0,51.15,37.89
298,Perelyub,57.65,72,9.44,0,51.87,50.37
299,Pachino,75.09,60,3.36,0,36.72,15.09
300,Bosaso,88.79,56,21.88,0,11.28,49.18
301,Esperance,42.8,81,6.93,0,-33.86,121.89
302,Nyurba,49.91,81,3.33,21,63.29,118.35
303,Lacey,70.9,46,3.36,20,47.03,-122.81
304,Gannan,56.57,97,3.27,67,47.92,123.49
305,Okha,50.09,92,4.45,100,53.59,142.95
306,Tilichiki,48.83,87,13.24,100,60.47,166.1
307,Davila,78.8,94,3.36,20,18.47,120.58
308,The Valley,85.5,70,12.75,40,18.22,-63.06
309,Faanui,78.35,68,8.39,1,-16.48,-151.75
310,Santa Rosa,68.45,50,9.42,100,-36.62,-64.29
311,Zhanaozen,78.35,20,11.86,100,43.35,52.85
312,Oswego,79.39,78,3.36,40,37.17,-95.11
313,Zarya,73.94,73,4.47,0,44.89,37.47
314,Meulaboh,79.79,81,7.4,100,4.14,96.13
315,De Aar,51.53,24,0.89,0,-30.65,24.01
316,Uyemskiy,42.8,100,2.24,40,64.47,40.85
317,Maputo,68.0,56,9.17,0,-25.97,32.57
318,Nyazepetrovsk,49.55,99,5.93,25,56.06,59.6
319,Dublin,59.43,93,4.7,75,53.35,-6.26
320,Constitucion,76.01,47,5.82,75,23.99,-104.67
321,Belaya Gora,51.17,86,9.33,100,68.54,146.19
322,Geraldton,71.6,46,17.22,20,49.72,-86.95
323,Corinto,87.8,43,13.87,75,3.17,-76.26
324,Kavaratti,81.77,78,17.29,70,10.57,72.64
325,Jamame,76.01,81,10.22,0,0.07,42.75
326,Manakara,59.99,90,3.65,2,-22.14,48.01
327,Raigarh,76.19,93,3.78,100,21.9,83.39
328,Putina,60.8,7,6.93,40,-14.91,-69.87
329,Mahebourg,67.68,73,12.75,75,-20.41,57.7
330,Itarema,78.17,66,12.88,0,-2.92,-39.92
331,Laguna,89.6,70,9.17,40,16.17,-88.94
332,Mahajanga,73.4,53,3.36,20,-15.72,46.32
333,Kostino,78.8,47,10.29,0,41.7,25.3
334,Honiara,77.0,94,3.36,75,-9.43,159.96
335,Taoudenni,98.15,27,14.29,79,22.68,-3.98
336,Bonito Oriental,83.03,81,21.68,0,15.75,-85.74
337,Kathu,53.01,30,2.77,0,-27.7,23.05
338,Inhambane,61.97,91,5.41,0,-23.87,35.38
339,Chakia,82.67,79,7.11,76,26.42,85.05
340,Nola,66.47,88,1.32,91,3.52,16.05
341,Chhagalnaiya,76.37,94,8.81,47,23.03,91.51
342,Kununurra,57.2,87,6.78,0,-15.77,128.74
343,Bambanglipuro,73.31,90,6.17,69,-7.95,110.28
344,Batemans Bay,43.59,72,1.86,100,-35.71,150.18
345,Ipixuna,84.2,79,9.17,75,-1.76,-48.8
346,Tiznit,68.99,79,23.78,100,29.7,-9.73
347,Solnechnyy,52.25,95,0.89,2,50.72,136.64
348,Santa Cecilia,72.9,69,12.75,75,9.85,-84.31
349,Saint-Augustin,76.89,44,3.36,20,45.63,-73.98
350,Haines Junction,50.81,56,6.44,62,60.75,-137.51
351,Harper,96.03,34,5.82,40,30.3,-99.24
352,Lagoa,70.97,83,4.7,20,37.14,-8.45
353,Portree,56.14,92,8.99,100,57.41,-6.19
354,Vestmannaeyjar,52.97,97,28.03,100,63.44,-20.27
355,Evensk,50.09,93,5.1,100,61.92,159.24
356,Ambilobe,68.63,70,7.36,0,-13.19,49.05
357,Ilebo,71.33,87,2.75,100,-4.33,20.59
358,Caceres,87.35,31,4.27,0,5.53,-74.53
359,Konstantinovka,77.81,36,13.18,76,46.85,29.85
360,Buraydah,87.8,23,3.36,0,26.33,43.97
361,Koindu,69.53,98,4.74,100,8.44,-10.33
362,Ulladulla,46.45,100,5.82,90,-35.36,150.48
363,Sorland,53.51,95,20.36,99,67.67,12.69
364,Lorengau,75.83,93,3.24,100,-2.02,147.27
365,Kilindoni,77.81,83,16.58,0,-7.91,39.67
366,Sisimiut,42.89,66,18.75,45,66.94,-53.67
367,Canalete,82.85,80,9.89,98,8.79,-76.24
368,Ziarat,65.75,27,1.95,0,30.38,67.73
369,Birjand,60.8,19,10.85,0,32.86,59.22
370,Isangel,69.35,66,12.91,0,-19.55,169.27
371,Ribeira Grande,70.79,84,11.39,93,38.52,-28.7
372,Cape Canaveral,87.87,74,7.61,1,28.41,-80.6
373,Akdepe,69.01,40,2.24,0,42.05,59.39
374,Manaus,77.77,61,4.7,75,-3.13,-59.98
375,Xuddur,73.49,73,19.22,0,4.12,43.89
376,Pisco,66.6,30,5.82,90,-13.71,-76.2
377,Flin Flon,69.8,60,5.82,40,54.77,-101.88
378,Kulhudhuffushi,81.95,78,12.95,100,6.62,73.07
379,Svetlaya,49.55,95,4.97,27,46.54,138.33
380,Warrington,62.24,88,5.82,0,53.39,-2.59
381,Jalu,80.87,57,15.32,0,29.03,21.55
382,Sal Rei,80.6,83,8.05,40,16.18,-22.92
383,Sept-Iles,71.89,46,10.29,75,50.2,-66.38
384,Shingu,62.15,79,4.7,40,33.72,135.99
385,Abu Samrah,76.01,60,9.71,0,35.3,37.18
386,Ambanja,76.55,80,3.18,0,-13.68,48.45
387,Barkly West,55.4,24,2.24,0,-28.54,24.52
388,Hrodna,63.0,94,3.69,0,53.68,23.83
389,Novaya Igirma,53.15,99,3.69,100,57.14,103.93
390,Kavali,82.85,63,14.36,94,14.91,79.99
391,Paris,72.03,53,2.24,0,48.86,2.35
392,Phuket,78.33,69,13.87,20,7.89,98.4
393,Saint-Francois,64.74,60,3.67,0,46.42,3.91
394,Madras,78.21,22,9.17,1,44.63,-121.13
395,Sarh,77.0,83,4.7,40,9.14,18.39
396,Nova Petropolis,63.73,72,11.41,0,-29.38,-51.11
397,Gravelbourg,68.81,49,12.12,95,49.88,-106.56
398,Talnakh,53.6,93,6.71,40,69.49,88.39
399,Kavieng,83.75,76,15.12,73,-2.57,150.8
400,Puerto Vallarta,91.13,67,10.29,75,20.61,-105.23
401,Acapulco,87.8,79,5.82,40,16.86,-99.88
402,Nome,78.31,94,8.32,40,30.04,-94.42
403,Sundumbili,59.0,93,3.36,6,-29.13,31.4
404,Bagdarin,47.21,96,2.17,79,54.44,113.59
405,Nichinan,73.8,94,3.36,75,31.65,131.31
406,Kinablangan,72.41,85,4.36,100,7.69,126.55
407,Wagar,82.26,75,1.01,96,31.44,-87.99
408,Lompoc,73.94,68,14.99,1,34.64,-120.46
409,Frontera,100.4,33,14.99,5,18.53,-92.64
410,Sechura,62.87,86,16.73,76,-5.56,-80.82
411,Arzgir,73.85,51,11.16,98,45.37,44.21
412,Kaitangata,46.0,82,11.99,100,-46.28,169.85
413,Semenivka,58.37,78,7.76,0,52.18,32.58
414,Leonberg,67.71,82,1.12,0,48.8,9.01
415,Alofi,73.4,78,13.87,98,-19.06,-169.92
416,Rawson,55.85,30,10.83,34,-43.3,-65.11
417,Parana,77.0,78,5.82,75,-7.52,-72.89
418,Te Anau,40.55,91,5.35,94,-45.41,167.72
419,San Luis Rio Colorado,100.76,42,5.82,1,32.47,-114.76
420,Hofn,40.01,99,18.1,100,64.25,-15.21
421,Kurilsk,53.87,89,8.68,100,45.23,147.88
422,Dryden,71.6,49,14.56,75,49.79,-92.84
423,Biak,58.19,92,3.94,100,-0.91,122.88
424,Gornyy,56.57,74,8.7,20,51.76,48.54
425,Hokitika,50.81,83,4.25,88,-42.72,170.96
426,La Grande,75.88,29,13.87,1,45.32,-118.09
427,Price,90.66,19,20.8,1,39.6,-110.81
428,Natal,78.8,69,12.75,40,-5.81,-35.21
429,Saint Anthony,80.13,15,25.28,1,43.97,-111.68
430,Dondo,66.2,88,2.24,0,-19.62,34.74
431,Sapouy,71.69,84,6.53,17,11.55,-1.77
432,Beringovskiy,61.97,63,1.74,0,63.05,179.32
433,Leshukonskoye,44.51,92,3.47,76,64.9,45.76
434,Pratapgarh,79.25,87,9.62,5,25.92,82.0
435,Maldonado,59.0,82,11.41,90,-34.91,-54.96
436,Erenhot,60.71,74,13.02,100,43.65,111.97
437,Eenhana,59.09,14,5.73,0,-17.48,16.34
438,Souillac,70.2,73,5.82,0,45.6,-0.6
439,Shemgang,48.29,92,3.49,25,27.22,90.66
440,Newport,62.82,93,6.93,75,51.59,-3.0
441,Krasnovishersk,46.31,96,11.79,100,60.4,57.08
442,Fort Frances,71.47,49,12.75,75,48.61,-93.4
443,Moses Lake,81.16,24,11.41,40,47.13,-119.28
444,Chapais,75.2,41,6.93,1,49.78,-74.86
445,Sur,86.99,46,10.09,0,22.57,59.53
446,Kijang,68.0,88,2.24,0,35.24,129.21
447,Rio Branco,84.2,58,10.29,20,-9.98,-67.82
448,Pochutla,89.37,62,16.11,20,15.74,-96.47
449,Pacific Grove,78.24,40,19.46,1,36.62,-121.92
450,Alyangula,57.2,100,8.99,0,-13.85,136.42
451,Enid,87.26,58,11.41,1,36.4,-97.88
452,Okhotsk,53.33,86,3.89,100,59.36,143.24
453,Muzhi,37.31,85,3.6,99,65.4,64.7
454,Annau,71.6,35,4.7,0,37.89,58.52
455,Mastic Beach,70.72,68,12.75,40,40.77,-72.85
456,Sattahip,78.8,78,4.7,75,12.67,100.9
457,Mae Sot,72.05,99,1.36,100,16.71,98.57
458,Ahuimanu,86.32,54,13.87,75,21.44,-157.84
459,Vao,56.57,75,6.46,20,59.1,26.19
460,Usinsk,37.67,78,8.23,89,66.0,57.56
461,Wiang Sa,73.67,94,1.07,100,8.64,99.37
462,Fare,77.99,67,7.52,0,-16.7,-151.02
463,Bandarbeyla,77.63,73,17.05,1,9.49,50.81
464,Phibun Mangsahan,77.0,94,6.93,75,15.24,105.23
465,Hebi,67.91,86,0.49,89,35.75,114.29
466,Beauceville,74.64,45,4.65,0,46.21,-70.77
467,Ordynskoye,51.89,76,2.84,2,54.37,81.9
468,High Prairie,62.69,66,12.68,87,55.43,-116.48
469,Ayan,57.47,48,3.38,42,38.23,44.7
470,Calderitas,89.6,66,18.34,40,18.55,-88.26
471,Yeppoon,55.4,87,1.79,0,-23.13,150.74
472,Middle Island,70.84,68,12.75,40,40.88,-72.94
473,Rio Pardo de Minas,82.13,30,9.44,58,-15.62,-42.55
474,Basco,71.33,88,5.82,75,40.33,-91.2
475,Pyay,74.93,92,0.38,99,18.82,95.22
476,San Vicente,77.0,73,13.87,59,-0.59,-80.41
477,Mackenzie,60.8,48,4.9,40,55.34,-123.09
478,Ca Mau,78.71,85,7.85,100,9.18,105.15
